50122	benefit policy in layoff	description	long answer	business	web search
779302	what is onboarding for credit unions	description	long answer	business	web passage
1115776	what is an aml surveillance analyst	description	short answer	business	web passage
1136047	difference between a company's strategy and business model is	description	comparison	business	web passage
1045109	who owns barnhart crane	entity	short answer	business	web search
915593	what types of food can you cook sous vide	list	list	food	web passage
42255	average salary for dental hygienist in nebraska	quantity	factoid	business	web search
257119	how long does it take to get refund from petsmart	quantity	factoid	business	web short answer
318362	how much does talent directors get paid a year	quantity	short answer	business	web search
324585	how much money do motivational speakers make	quantity	long answer	business	web search
330501	how much weight on usps letter	quantity	factoid	business	web short answer
330975	how much would it cost to install my own wind turbine	quantity	long answer	business	web search
1126738	number of employees for disa global solutions	quantity	factoid	business	web search
1132532	average annual income data analyst	quantity	factoid	business	web search
1030303	who is aziz hashim	description	short description	celebrity	web passage
794429	what is sculpture shape space	description	long answer	education	web search
1130847	how many years you have to go through and school is to become a anesthesiologist	quantity	factoid	education	web passage
1113256	what is reba mcentire's net worth	attribute	factoid	entertainment	web passage
804066	what is the actor color?	description	long answer	entertainment	web search
940547	when did rock n roll begin?	description	factoid	entertainment	web short answer
1051399	who sings monk theme song	entity	factoid	entertainment	KG
1109850	what language is craith filmed in?	entity	factoid	entertainment	web short answer
360721	how to get a free xbox one card	list	long answer	entertainment	web passage
997622	where is the show shameless filmed	list	factoid	entertainment	web short answer
1107440	what year did knee deep come out funkadelic	temporal	factoid	entertainment	KG
449367	meaning of tattoos around eyes	description	long answer	fashion	web passage
47210	average wedding dress alteration cost	quantity	factoid	fashion	web search
48792	barclays fca number	attribute	factoid	finance	web short answer
1125632	routing number for savings bank of maine	attribute	factoid	finance	web short answer
1134988	first eagle credit union routing number	attribute	factoid	finance	web short answer
169208	does mississippi have an income tax	description	factoid	finance	web passage
1135283	embedded payments definition	description	definition	finance	web passage
801118	what is supplemental security income used for	list	list	finance	web passage
253749	how long does it take for discover to raise limit	quantity	factoid	finance	web passage
1130705	how much do a passport	quantity	factoid	finance	web passage
1134680	geneva il median sales price	quantity	factoid	finance	web search
146187	difference between a mcdouble and a double cheeseburger	description	comparison	food	web passage
190044	foods to detox liver naturally	list	list	food	web passage
451602	medicare's definition of mechanical ventilation	description	definition	health	web search
177604	eating foods that are considered warm	list	long answer	food	web passage
1114286	what is in the meat group	list	definition	food	web passage
1108729	what temperature and humidity to dry sausage	process	guide	food	web passage
302846	how much caffeine in twinings green tea	quantity	factoid	food	web passage
1130734	how much cornstarch is needed to thicken	quantity	factoid	food	web passage
1132247	how long to cook potato wedges in the oven from frozen	quantity	factoid	food	web passage
1132943	how long do i cook artichokes for	quantity	factoid	food	web passage
1108473	what time zone is st paul minnesota in	attribute	factoid	geography	KG
605127	what county is dexter michigan in	location	factoid	geography	KG
611953	what county is rio hondo tx	location	factoid	geography	KG
978031	where is berlin center	location	maps	geography	map
985594	where is kampuchea	location	maps	geography	web short answer
999466	where is velbert	location	maps	geography	map
1105860	where can the amazon rainforest is located	location	factoid	geography	web short answer
1108466	what tissue composes the hypodermis	attribute	factoid	health	web short answer
1135413	dx code for thoracic outlet syndrome	attribute	factoid	health	web passage
118440	define bmt medical	description	definition	health	web passage
125659	define premature babies	description	definition	health	web passage
148538	difference between rn and bsn	description	comparison	health	web passage
966413	where are the benefits of cinnamon as a supplement?	list	list	health	web passage
227873	how does the body oxidize alcohol so it can be eliminated	description	short answer	health	web passage
588587	what causes heavy metal toxins in your body	description	short answer	health	web passage
1108939	what slows down the flow of blood	description	long answer	health	web passage
507445	symptoms of different types of brain bleeds	list	list	health	web passage
583468	what carvedilol used for	description	short answer	health	web passage
586148	what causes bruises to appear	description	short answer	health	web passage
590019	what causes muscles to tear	description	short answer	health	web passage
527433	types of dysarthria from cerebral palsy	list	list	health	web passage
708979	what is aids and hiv	description	short answer	health	web passage
735922	what is crimp oil	description	short answer	health	web passage
855410	what is theraderm used for	description	short answer	health	web passage
1119543	what does a psychological screening consist of for egg donors	description	long answer	health	web passage
1120588	caries detection system	description	long answer	health	web search
1124552	briefly describe how the lungs function	description	long answer	health	web passage
1104501	which hormone increases calcium levels in the blood?	entity	factoid	health	web passage
1135268	antibiotics for what kind of infection	entity	factoid	health	web passage
1114166	what is it called when your blood becomes too thin	language	factoid	health	web passage
1129081	in healthcare what does iihi stand for	language	definition	health	web short answer
85020	causes for shortness of breath through exertion	list	list	health	web passage
87181	causes of left ventricular hypertrophy	list	list	health	web search
1056204	who was the first steam boat operator	entity	short answer	history	web passage
1114646	what is famvir prescribed for	list	list	health	web passage
264403	how long is recovery from a face lift and neck lift	quantity	short answer	health	web passage
87452	causes of military suicide	reason	long answer	health	web search
452915	metabolic disease signs and symptoms	list	list	health	web search
489204	right pelvic pain causes	reason	list	health	web passage
182539	example of monotonic function	description	factoid	mathematics	web passage
537817	vitamin e anti scar	description	short answer	health	web search
555530	what are best foods to lower cholesterol	list	list	health	web passage
86606	causes of gas in large intestine	list	list	health	web passage
655526	what does zetia treat	list	list	health	web passage
88495	causes of stroke?	list	list	health	web search
1114819	what is durable medical equipment consist of	list	list	health	web passage
1122138	what are symptoms of kid	list	list	health	web search
3505	how do they do open heart surgery	process	long answer	health	web passage
240158	how long are we contagious after we catch a cold.?	quantity	factoid	health	web passage
256942	how long does it take to get feeling back after surgery?	quantity	factoid	health	web passage
258062	how long does it take to remove wisdom tooth	quantity	factoid	health	web passage
877809	what metal are hip replacements made of	list	long answer	health	web passage
273695	how long will methadone stay in your system	quantity	factoid	health	web search
1132842	how long do you stay contagious with the flu	quantity	factoid	health	web passage
1132950	how long do hormonal headaches last	quantity	short answer	health	web passage
168216	does legionella pneumophila cause pneumonia	reason	factoid	health	web passage
554515	what are achieved and ascribed statuses?	list	list	science	web passage
1065636	why do some places on my scalp feel sore	list	long answer	health	web passage
640502	what does it mean if your tsh is low	reason	short answer	health	web passage
1133485	how does vitamin c helps	reason	short answer	health	web passage
53233	biggest loser challenge	resource	short answer	health	web search
64647	can ativan cause coughing	verification	factoid	health	web passage
75198	can uti cause stroke	verification	short answer	health	web passage
166046	does ethambutol treat bone infection	verification	short answer	health	web search
405163	is caffeine an narcotic	verification	factoid	health	web passage
426175	is the duodenum a muscle	verification	factoid	health	web passage
1128456	is the medicine toradol a narcotic	verification	factoid	health	web passage
1135626	does low vitamin cause tingling	verification	short answer	health	web passage
91576	chicken as food wikipedia	description	long answer	history	web search
655914	what drives poaching	list	list	business	web passage
918162	what was darwin's greatest contribution to evolutionary theory?	description	long answer	history	web passage
1118426	what does plank owner mean	description	definition	history	web passage
730539	what is chronometer who invented it	description	long answer	history	KG
1043135	who killed nicholas ii of russia	entity	factoid	history	web passage
1113042	what is shakespeare's theatre called	entity	factoid	history	web short answer
67316	can fever cause miscarriage early pregnancy	description	long answer	health	web passage
42752	average salary in canada 1985	quantity	factoid	history	web short answer
287683	how many liberty ships were built in brunswick	quantity	factoid	history	web short answer
1063750	why did the us volunterilay enter ww1	reason	long answer	history	web passage
1136962	why did the ancient egyptians call their land kemet, or black land?	reason	short description	history	web passage
144862	did prohibition increased crime	verification	short answer	history	web search
1108651	what the best way to get clothes white	process	guide	household	web passage
482726	projective definition	description	definition	language	dictionary
1106007	define visceral?	description	definition	language	dictionary
883915	what other brain proteins can cause dementia	list	list	health	web passage
1103791	definition of endorsing	description	definition	language	dictionary
1114993	conformative definition	description	definition	language	web passage
1117886	what does the word pottery mean	description	definition	language	dictionary
1118370	what does provisions mean?	description	definition	language	dictionary
1119118	what does distraint mean?	description	definition	language	dictionary
1126523	outmaneuver definition	description	definition	language	dictionary
1127233	monk meaning	description	definition	language	dictionary
1134207	holidays definition	description	definition	language	dictionary
135802	definition of laudable	language	definition	language	dictionary
181626	estar meaning	language	definition	language	web passage
390360	ia suffix meaning	language	definition	language	web passage
